Designator,Mid X,Mid Y,Rotation,Layer
GND,2.05,21.73,0.0,top
IC1,10.74,41.59,270.0,top
J6,2.05,6.19,0.0,top
R1,15.2,30.8,0.0,top
R2,15.2,26.75,0.0,top
R3,15.2,22.7,0.0,top
R4,15.2,18.65,0.0,top
R5,15.2,14.6,0.0,top
R6,15.2,10.55,0.0,top
R7,15.2,6.5,0.0,top
R8,15.2,2.45,0.0,top
U1,32.82,41.575,270.0,top
U2,32.82,29.77,270.0,top
U3,32.82,17.965,270.0,top
U4,32.82,6.16,270.0,top
